method	path	path_html	app	controller	action	auth	auth_required	desc	file	line
UNKNOWN	/selfservice/ticket/getTicketPirce	/selfservice/ticket/getTicketPirce.html	selfservice	Ticket	getTicketPirce	selfservice-token(No)	yes		app/selfservice/controller/Ticket.php	389
UNKNOWN	/selfservice/ticket/getTradeNo	/selfservice/ticket/getTradeNo.html	selfservice	Ticket	getTradeNo	selfservice-token(No)	yes		app/selfservice/controller/Ticket.php	432
UNKNOWN	/selfservice/ticket/getTravelWxappQrcode	/selfservice/ticket/getTravelWxappQrcode.html	selfservice	Ticket	getTravelWxappQrcode	selfservice-token(No)	yes		app/selfservice/controller/Ticket.php	285
UNKNOWN	/selfservice/ticket/queryOrder	/selfservice/ticket/queryOrder.html	selfservice	Ticket	queryOrder	selfservice-token(No)	no		app/selfservice/controller/Ticket.php	480
UNKNOWN	/selfservice/ticket/queryTourist	/selfservice/ticket/queryTourist.html	selfservice	Ticket	queryTourist	selfservice-token(No)	yes		app/selfservice/controller/Ticket.php	448
POST	/selfservice/ticket/submit	/selfservice/ticket/submit.html	selfservice	Ticket	submit	selfservice-token(No)	no	提交订单	app/selfservice/controller/Ticket.php	55
UNKNOWN	/selfservice/ticket/takeTicket	/selfservice/ticket/takeTicket.html	selfservice	Ticket	takeTicket	selfservice-token(No)	yes		app/selfservice/controller/Ticket.php	504
UNKNOWN	/selfservice/ticket/travelOrderPay	/selfservice/ticket/travelOrderPay.html	selfservice	Ticket	travelOrderPay	selfservice-token(No)	no		app/selfservice/controller/Ticket.php	334
UNKNOWN	/selfservice/upload/index	/selfservice/upload/index.html	selfservice	Upload	index	selfservice-token(No)	yes		app/selfservice/controller/Upload.php	45
UNKNOWN	/selfservice/webupload/index	/selfservice/webupload/index.html	selfservice	Webupload	index	selfservice-token(No)	no		app/selfservice/controller/Webupload.php	45
UNKNOWN	/window/index/captcha	/window/index/captcha.html	window	Index	captcha	window-token(Uuid)	no		app/window/controller/Index.php	86
POST	/window/index/system	/window/index/system.html	window	Index	system	window-token(Uuid)	no	返回系统信息	app/window/controller/Index.php	58
POST	/window/index/winlogin	/window/index/winlogin.html	window	Index	winlogin	window-token(Uuid)	no	系统登录接口，返回 token 用于操作需验证身份的接口	app/window/controller/Index.php	96
POST	/window/ticket/detail	/window/ticket/detail.html	window	Ticket	detail	window-token(Uuid)	yes	订单详情	app/window/controller/Ticket.php	421
