phase	group	tag	miniapp_used	method	path	path_html	python_status	route_methods	method_compatible	golden_p0	golden_p0_success	auth_required	auth	contract	app	controller	action	desc	file	line
M1	A2-identity-upload	UPLOAD	no	UNKNOWN	/window/webupload/index	/window/webupload/index.html	implemented	GET,OPTIONS,POST	unknown	yes	no	no	window-token(Uuid)	docs/rewrite/contracts/p0/window/webupload/index.md	window	Webupload	index		app/window/controller/Webupload.php	45
M2	B1-miniapp	BUSINESS	yes	UNKNOWN	/api/appt/cancelAppt	/api/appt/cancelAppt.html	implemented	GET,POST	unknown	yes	no	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/appt/cancelappt.md	api	Appt	cancelAppt		app/api/controller/Appt.php	349
M2	B1-miniapp	BUSINESS	yes	UNKNOWN	/api/appt/createAppt	/api/appt/createAppt.html	implemented	GET,POST	unknown	yes	no	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/appt/createappt.md	api	Appt	createAppt		app/api/controller/Appt.php	87
M2	B1-miniapp	BUSINESS	yes	UNKNOWN	/api/appt/getDatetime	/api/appt/getDatetime.html	implemented	GET,POST	unknown	yes	yes	no	api-token(Userid)	docs/rewrite/contracts/p0/api/appt/getdatetime.md	api	Appt	getDatetime		app/api/controller/Appt.php	45
M2	B1-miniapp	BUSINESS	yes	UNKNOWN	/api/appt/getDetail	/api/appt/getDetail.html	implemented	GET,POST	unknown	yes	no	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/appt/getdetail.md	api	Appt	getDetail		app/api/controller/Appt.php	235
M2	B1-miniapp	BUSINESS	yes	UNKNOWN	/api/appt/getList	/api/appt/getList.html	implemented	GET,POST	unknown	yes	yes	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/appt/getlist.md	api	Appt	getList		app/api/controller/Appt.php	213
M2	B1-miniapp	BUSINESS	yes	UNKNOWN	/api/appt/writeOff	/api/appt/writeOff.html	implemented	GET,POST	unknown	yes	no	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/appt/writeoff.md	api	Appt	writeOff		app/api/controller/Appt.php	249
M2	B1-miniapp	BUSINESS	yes	UNKNOWN	/api/coupon/applicableto	/api/coupon/applicableto.html	implemented	GET,POST	unknown	yes	no	no	api-token(Userid)	docs/rewrite/contracts/p0/api/coupon/applicableto.md	api	Coupon	applicableto		app/api/controller/Coupon.php	772
M2	B1-miniapp	BUSINESS	yes	UNKNOWN	/api/coupon/applicabletoV2	/api/coupon/applicabletoV2.html	implemented	GET,POST	unknown	yes	no	no	api-token(Userid)	docs/rewrite/contracts/p0/api/coupon/applicabletov2.md	api	Coupon	applicabletoV2		app/api/controller/Coupon.php	709
M2	B1-miniapp	BUSINESS	yes	UNKNOWN	/api/coupon/detail	/api/coupon/detail.html	implemented	GET,POST	unknown	yes	no	no	api-token(Userid)	docs/rewrite/contracts/p0/api/coupon/detail.md	api	Coupon	detail		app/api/controller/Coupon.php	593
M2	B1-miniapp	BUSINESS	yes	UNKNOWN	/api/coupon/encryptAES	/api/coupon/encryptAES.html	implemented	GET,POST	unknown	yes	no	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/coupon/encryptaes.md	api	Coupon	encryptAES		app/api/controller/Coupon.php	1378
M2	B1-miniapp	BUSINESS	yes	UNKNOWN	/api/coupon/getUserCouponRecordList	/api/coupon/getUserCouponRecordList.html	implemented	GET,POST	unknown	yes	no	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/coupon/getusercouponrecordlist.md	api	Coupon	getUserCouponRecordList		app/api/controller/Coupon.php	1489
M2	B1-miniapp	BUSINESS	yes	UNKNOWN	/api/coupon/idtocoupon	/api/coupon/idtocoupon.html	implemented	GET,POST	unknown	yes	no	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/coupon/idtocoupon.md	api	Coupon	idtocoupon		app/api/controller/Coupon.php	1337
M2	B1-miniapp	BUSINESS	yes	UNKNOWN	/api/coupon/index	/api/coupon/index.html	implemented	GET,POST	unknown	yes	yes	no	api-token(Userid)	docs/rewrite/contracts/p0/api/coupon/index.md	api	Coupon	index		app/api/controller/Coupon.php	44
M2	B1-miniapp	BUSINESS	yes	UNKNOWN	/api/coupon/receive	/api/coupon/receive.html	implemented	GET,POST	unknown	yes	no	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/coupon/receive.md	api	Coupon	receive		app/api/controller/Coupon.php	278
M2	B1-miniapp	BUSINESS	yes	UNKNOWN	/api/coupon/tempApi	/api/coupon/tempApi.html	implemented	GET,POST	unknown	yes	yes	no	api-token(Userid)	docs/rewrite/contracts/p0/api/coupon/tempapi.md	api	Coupon	tempApi		app/api/controller/Coupon.php	92
M2	B1-miniapp	BUSINESS	yes	UNKNOWN	/api/coupon/writeoff	/api/coupon/writeoff.html	implemented	GET,POST	unknown	yes	no	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/coupon/writeoff.md	api	Coupon	writeoff		app/api/controller/Coupon.php	923
M2	B1-miniapp	BUSINESS	yes	UNKNOWN	/api/coupon/writeoffdetail	/api/coupon/writeoffdetail.html	implemented	GET,POST	unknown	yes	no	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/coupon/writeoffdetail.md	api	Coupon	writeoffdetail		app/api/controller/Coupon.php	1253
M2	B1-miniapp	BUSINESS	yes	UNKNOWN	/api/coupon/writeofflog	/api/coupon/writeofflog.html	implemented	GET,POST	unknown	yes	no	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/coupon/writeofflog.md	api	Coupon	writeofflog		app/api/controller/Coupon.php	1207
M2	B1-miniapp	BUSINESS	yes	POST	/api/index/note_detail	/api/index/note_detail.html	implemented	GET,POST	yes	yes	yes	no	api-token(Userid)	docs/rewrite/contracts/p0/api/index/note_detail.md	api	Index	note_detail	公告详情	app/api/controller/Index.php	292
M2	B1-miniapp	BUSINESS	yes	POST	/api/index/note_list	/api/index/note_list.html	implemented	POST	yes	yes	yes	no	api-token(Userid)	docs/rewrite/contracts/p0/api/index/note_list.md	api	Index	note_list	公告列表	app/api/controller/Index.php	276
M2	B1-miniapp	BUSINESS	yes	POST	/api/index/system	/api/index/system.html	implemented	POST	yes	yes	yes	no	api-token(Userid)	docs/rewrite/contracts/p0/api/index/system.md	api	Index	system	返回系统信息	app/api/controller/Index.php	91
M2	B1-miniapp	BUSINESS	yes	POST	/api/index/transform	/api/index/transform.html	implemented	POST	yes	yes	no	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/index/transform.md	api	Index	transform	返回区域列表	app/api/controller/Index.php	334
M2	B1-miniapp	BUSINESS	yes	POST	/api/seller/cate	/api/seller/cate.html	implemented	POST	yes	yes	yes	no	api-token(Userid)	docs/rewrite/contracts/p0/api/seller/cate.md	api	Seller	cate	返回商家分类	app/api/controller/Seller.php	30
M2	B1-miniapp	BUSINESS	yes	POST	/api/seller/detail	/api/seller/detail.html	implemented	GET,POST	yes	yes	no	no	api-token(Userid)	docs/rewrite/contracts/p0/api/seller/detail.md	api	Seller	detail	返回商家详细信息	app/api/controller/Seller.php	114
M2	B1-miniapp	BUSINESS	yes	POST	/api/seller/list	/api/seller/list.html	implemented	POST	yes	yes	yes	no	api-token(Userid)	docs/rewrite/contracts/p0/api/seller/list.md	api	Seller	list	返回商家信息	app/api/controller/Seller.php	48
M2	B1-miniapp	BUSINESS	yes	POST	/api/seller/search	/api/seller/search.html	implemented	GET,POST	yes	yes	yes	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/seller/search.md	api	Seller	search	返回商家信息	app/api/controller/Seller.php	192
M2	B1-miniapp	BUSINESS	yes	UNKNOWN	/api/ticket/getCommentList	/api/ticket/getCommentList.html	implemented	GET	unknown	yes	yes	no	api-token(Userid)	docs/rewrite/contracts/p0/api/ticket/getcommentlist.md	api	Ticket	getCommentList		app/api/controller/Ticket.php	1315
M2	B1-miniapp	BUSINESS	yes	UNKNOWN	/api/ticket/getOrderDetail	/api/ticket/getOrderDetail.html	implemented	GET,POST	unknown	yes	no	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/ticket/getorderdetail.md	api	Ticket	getOrderDetail		app/api/controller/Ticket.php	1387
M2	B1-miniapp	BUSINESS	yes	UNKNOWN	/api/ticket/getOrderDetailDetail	/api/ticket/getOrderDetailDetail.html	implemented	GET,POST	unknown	yes	no	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/ticket/getorderdetaildetail.md	api	Ticket	getOrderDetailDetail		app/api/controller/Ticket.php	1865
M2	B1-miniapp	BUSINESS	yes	UNKNOWN	/api/ticket/getOrderList	/api/ticket/getOrderList.html	implemented	GET	unknown	yes	yes	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/ticket/getorderlist.md	api	Ticket	getOrderList		app/api/controller/Ticket.php	1344
